#    s        x        y     Ue/Vinf    Dstar     Theta      Cf
   0.00000  1.00000  0.00000  0.97088  0.040361  0.007290 -0.000002
   0.00486  0.99524  0.00099  0.97137  0.039012  0.007263 -0.000002
   0.01282  0.98754  0.00298  0.97226  0.037099  0.007215 -0.000002
   0.02169  0.97897  0.00528  0.97323  0.035003  0.007165 -0.000002
   0.03136  0.96960  0.00767  0.97432  0.032896  0.007111 -0.000002
   0.04184  0.95939  0.01003  0.97556  0.030911  0.007052 -0.000002
   0.05326  0.94822  0.01243  0.97693  0.028992  0.006990 -0.000001
   0.06556  0.93618  0.01494  0.97826  0.027048  0.006933  0.000000
   0.07853  0.92348  0.01757  0.97929  0.025100  0.006892  0.000001
   0.09196  0.91033  0.02029  0.97950  0.023179  0.006883  0.000003
   0.10564  0.89693  0.02306  0.97878  0.021322  0.006910  0.000027
   0.11945  0.88341  0.02587  0.98248  0.019501  0.006781  0.000085
   0.13334  0.86981  0.02871  0.98840  0.017773  0.006588  0.000147
   0.14728  0.85617  0.03158  0.99600  0.016165  0.006357  0.000216
   0.16126  0.84249  0.03447  1.00522  0.014676  0.006099  0.000295
   0.17528  0.82878  0.03738  1.01598  0.013310  0.005821  0.000385
   0.18932  0.81505  0.04031  1.02812  0.012073  0.005532  0.000486
   0.20337  0.80131  0.04324  1.04158  0.010949  0.005239  0.000598
   0.21742  0.78757  0.04616  1.05609  0.009946  0.004950  0.000720
   0.23143  0.77386  0.04908  1.07158  0.009046  0.004667  0.000853
   0.24540  0.76019  0.05198  1.08780  0.008246  0.004395  0.000994
   0.25932  0.74658  0.05485  1.10468  0.007533  0.004136  0.001144
   0.27317  0.73302  0.05768  1.12211  0.006897  0.003891  0.001303
   0.28696  0.71952  0.06048  1.13994  0.006329  0.003660  0.001469
   0.30067  0.70609  0.06322  1.15816  0.005820  0.003443  0.001642
   0.31430  0.69272  0.06591  1.17662  0.005365  0.003241  0.001823
   0.32785  0.67943  0.06854  1.19542  0.004952  0.003050  0.002013
   0.34130  0.66622  0.07109  1.21443  0.004579  0.002872  0.002210
   0.35465  0.65310  0.07357  1.23356  0.004242  0.002705  0.002415
   0.36788  0.64009  0.07595  1.25305  0.003933  0.002548  0.002631
