#    s        x        y     Ue/Vinf    Dstar     Theta      Cf
   0.00000  1.00000  0.00000  1.03309  0.086345  0.008134 -0.000002
   0.00486  0.99524  0.00099  1.03360  0.084685  0.008084 -0.000002
   0.01282  0.98754  0.00298  1.03448  0.082322  0.007999 -0.000002
   0.02169  0.97897  0.00528  1.03547  0.079703  0.007906 -0.000002
   0.03136  0.96960  0.00767  1.03659  0.076988  0.007805 -0.000002
   0.04184  0.95939  0.01003  1.03784  0.074310  0.007694 -0.000002
   0.05326  0.94822  0.01243  1.03925  0.071601  0.007575 -0.000002
   0.06556  0.93618  0.01494  1.04078  0.068762  0.007449 -0.000002
   0.07853  0.92348  0.01757  1.04242  0.065811  0.007320 -0.000002
   0.09196  0.91033  0.02029  1.04413  0.062778  0.007191 -0.000002
   0.10564  0.89693  0.02306  1.04588  0.059691  0.007065 -0.000002
   0.11945  0.88341  0.02587  1.04766  0.056576  0.006942 -0.000002
   0.13334  0.86981  0.02871  1.04945  0.053436  0.006825 -0.000002
   0.14728  0.85617  0.03158  1.05126  0.050288  0.006712 -0.000002
   0.16126  0.84249  0.03447  1.05308  0.047130  0.006605 -0.000003
   0.17528  0.82878  0.03738  1.05491  0.043973  0.006503 -0.000003
   0.18932  0.81505  0.04031  1.05674  0.040829  0.006407 -0.000003
   0.20337  0.80131  0.04324  1.05856  0.037700  0.006318 -0.000003
   0.21742  0.78757  0.04616  1.06036  0.034612  0.006235 -0.000003
   0.23143  0.77386  0.04908  1.06211  0.031569  0.006160 -0.000003
   0.24540  0.76019  0.05198  1.06373  0.028598  0.006095 -0.000003
   0.25932  0.74658  0.05485  1.06507  0.025709  0.006046 -0.000002
   0.27317  0.73302  0.05768  1.06570  0.022927  0.006025  0.000000
   0.28696  0.71952  0.06048  1.06429  0.020295  0.006069  0.000004
   0.30067  0.70609  0.06322  1.06352  0.017822  0.006092  0.000083
   0.31430  0.69272  0.06591  1.07130  0.015500  0.005882  0.000203
   0.32785  0.67943  0.06854  1.08352  0.013418  0.005587  0.000348
   0.34130  0.66622  0.07109  1.09973  0.011596  0.005238  0.000522
   0.35465  0.65310  0.07357  1.11932  0.010033  0.004866  0.000728
   0.36788  0.64009  0.07595  1.14165  0.008707  0.004492  0.000962
