#    s        x        y     Ue/Vinf    Dstar     Theta      Cf
   1.00764  0.01338  0.02387  1.49686  0.000085  0.000035  0.005726
   1.01045  0.01135  0.02192  1.48177  0.000078  0.000032  0.006509
   1.01309  0.00954  0.02000  1.45792  0.000072  0.000030  0.007188
   1.01556  0.00794  0.01812  1.42570  0.000067  0.000029  0.007801
   1.01790  0.00652  0.01626  1.38541  0.000065  0.000028  0.007758
   1.02011  0.00525  0.01445  1.34595  0.000062  0.000026  0.007994
   1.02220  0.00414  0.01267  1.30279  0.000058  0.000025  0.008261
   1.02419  0.00317  0.01093  1.25504  0.000056  0.000024  0.008344
   1.02609  0.00233  0.00923  1.20562  0.000054  0.000023  0.008154
   1.02790  0.00162  0.00757  1.15591  0.000050  0.000022  0.008653
   1.02964  0.00103  0.00593  1.09731  0.000048  0.000021  0.008466
   1.03130  0.00057  0.00434  1.03608  0.000044  0.000019  0.008785
   1.03290  0.00025  0.00277  0.96133  0.000041  0.000018  0.009058
   1.03443  0.00006  0.00125  0.87236  0.000039  0.000017  0.008645
   1.03594  0.00002 -0.00026  0.77070  0.000037  0.000017  0.008378
   1.03743  0.00010 -0.00175  0.66392  0.000037  0.000016  0.006711
   1.03894  0.00035 -0.00324  0.54892  0.000032  0.000014  0.006811
   1.04048  0.00085 -0.00470  0.38822  0.000030  0.000013  0.005063
   1.04208  0.00164 -0.00608  0.20091  0.000030  0.000013  0.002743
   1.04372  0.00270 -0.00733  0.03626  0.000038  0.000017  0.000383
   1.04544  0.00399 -0.00848 -0.09009  0.000038  0.000017  0.000951
   1.04725  0.00543 -0.00957 -0.18886  0.000047  0.000021  0.001539
   1.04916  0.00702 -0.01063 -0.27420  0.000048  0.000022  0.002318
   1.05118  0.00876 -0.01164 -0.34256  0.000056  0.000024  0.002248
   1.05332  0.01066 -0.01263 -0.40253  0.000059  0.000026  0.002718
   1.05562  0.01275 -0.01360 -0.45263  0.000067  0.000029  0.002498
   1.05809  0.01502 -0.01456 -0.49660  0.000071  0.000031  0.002671
   1.06075  0.01750 -0.01552 -0.53543  0.000078  0.000034  0.002541
   1.06364  0.02023 -0.01649 -0.57299  0.000082  0.000036  0.002640
   1.06680  0.02323 -0.01747 -0.60522  0.000090  0.000039  0.002452
   1.07026  0.02655 -0.01846 -0.63507  0.000096  0.000041  0.002429
   1.07409  0.03024 -0.01947 -0.66266  0.000103  0.000044  0.002325
   1.07834  0.03436 -0.02051 -0.68827  0.000111  0.000047  0.002235
   1.08310  0.03901 -0.02158 -0.71084  0.000120  0.000051  0.002087
   1.08846  0.04425 -0.02268 -0.73309  0.000128  0.000054  0.002030
   1.09452  0.05019 -0.02383 -0.75379  0.000138  0.000058  0.001912
   1.10136  0.05694 -0.02501 -0.77357  0.000148  0.000062  0.001824
   1.10909  0.06457 -0.02622 -0.79135  0.000160  0.000067  0.001700
   1.11775  0.07314 -0.02745 -0.80804  0.000172  0.000072  0.001610
   1.12734  0.08265 -0.02868 -0.82304  0.000185  0.000077  0.001506
   1.13781  0.09305 -0.02989 -0.83642  0.000199  0.000083  0.001413
   1.14905  0.10423 -0.03107 -0.84885  0.000212  0.000088  0.001344
   1.16090  0.11602 -0.03221 -0.86078  0.000224  0.000093  0.001294
   1.17321  0.12828 -0.03329 -0.87093  0.000238  0.000098  0.001220
   1.18586  0.14089 -0.03430 -0.88040  0.000250  0.000103  0.001173
   1.19877  0.15377 -0.03524 -0.88856  0.000264  0.000109  0.001116
   1.21188  0.16685 -0.03610 -0.89586  0.000276  0.000114  0.001069
   1.22514  0.18008 -0.03691 -0.90272  0.000287  0.000118  0.001035
   1.23851  0.19344 -0.03766 -0.90892  0.000299  0.000123  0.000999
   1.25198  0.20689 -0.03836 -0.91473  0.000310  0.000127  0.000970
   1.26553  0.22042 -0.03900 -0.92010  0.000321  0.000132  0.000941
   1.27913  0.23401 -0.03961 -0.92560  0.000329  0.000136  0.000927
   1.29277  0.24764 -0.04017 -0.93066  0.000339  0.000140  0.000906
   1.30644  0.26130 -0.04069 -0.93571  0.000347  0.000143  0.000892
   1.32013  0.27498 -0.04117 -0.94075  0.000355  0.000147  0.000882
   1.33383  0.28867 -0.04162 -0.94573  0.000362  0.000150  0.000872
   1.34753  0.30236 -0.04202 -0.95065  0.000369  0.000153  0.000864
   1.36121  0.31605 -0.04239 -0.95569  0.000375  0.000156  0.000860
   1.37488  0.32971 -0.04271 -0.96056  0.000382  0.000159  0.000853
   1.38853  0.34336 -0.04300 -0.96540  0.000388  0.000162  0.000848
   1.40215  0.35698 -0.04323 -0.97041  0.000392  0.000164  0.000847
   1.41574  0.37056 -0.04342 -0.97511  0.000398  0.000167  0.000840
   1.42929  0.38411 -0.04356 -0.98006  0.000403  0.000169  0.000841
   1.44278  0.39761 -0.04364 -0.98497  0.000407  0.000171  0.000840
   1.45623  0.41105 -0.04367 -0.98950  0.000412  0.000173  0.000832
   1.46960  0.42443 -0.04363 -0.99452  0.000415  0.000175  0.000837
   1.48290  0.43773 -0.04353 -0.99903  0.000420  0.000177  0.000831
   1.49611  0.45094 -0.04335 -1.00373  0.000424  0.000179  0.000831
   1.50922  0.46404 -0.04309 -1.00828  0.000428  0.000181  0.000829
   1.52220  0.47702 -0.04274 -1.01268  0.000432  0.000183  0.000826
