#    s        x        y     Ue/Vinf    Dstar     Theta      Cf
   0.00000  1.00000  0.00000  0.90130  0.018359  0.006862  0.000131
   0.00486  0.99524  0.00099  0.90422  0.017488  0.006760  0.000163
   0.01282  0.98754  0.00298  0.91037  0.016010  0.006555  0.000227
   0.02169  0.97897  0.00528  0.91900  0.014451  0.006289  0.000310
   0.03136  0.96960  0.00767  0.92951  0.013025  0.005991  0.000405
   0.04184  0.95939  0.01003  0.94040  0.011885  0.005707  0.000496
   0.05326  0.94822  0.01243  0.95131  0.010963  0.005443  0.000581
   0.06556  0.93618  0.01494  0.96273  0.010148  0.005187  0.000666
   0.07853  0.92348  0.01757  0.97448  0.009426  0.004940  0.000752
   0.09196  0.91033  0.02029  0.98646  0.008783  0.004705  0.000838
   0.10564  0.89693  0.02306  0.99862  0.008205  0.004483  0.000924
   0.11945  0.88341  0.02587  1.01084  0.007686  0.004273  0.001011
   0.13334  0.86981  0.02871  1.02325  0.007210  0.004073  0.001100
   0.14728  0.85617  0.03158  1.03573  0.006776  0.003885  0.001190
   0.16126  0.84249  0.03447  1.04844  0.006373  0.003704  0.001283
   0.17528  0.82878  0.03738  1.06138  0.005998  0.003531  0.001379
   0.18932  0.81505  0.04031  1.07444  0.005651  0.003367  0.001477
   0.20337  0.80131  0.04324  1.08789  0.005321  0.003208  0.001582
   0.21742  0.78757  0.04616  1.10144  0.005015  0.003056  0.001689
   0.23143  0.77386  0.04908  1.11534  0.004724  0.002911  0.001802
   0.24540  0.76019  0.05198  1.12941  0.004453  0.002772  0.001919
   0.25932  0.74658  0.05485  1.14380  0.004195  0.002638  0.002044
   0.27317  0.73302  0.05768  1.15841  0.003953  0.002510  0.002174
   0.28696  0.71952  0.06048  1.17330  0.003723  0.002387  0.002311
   0.30067  0.70609  0.06322  1.18846  0.003506  0.002269  0.002455
   0.31430  0.69272  0.06591  1.20382  0.003301  0.002156  0.002607
   0.32785  0.67943  0.06854  1.21954  0.003106  0.002048  0.002769
   0.34130  0.66622  0.07109  1.23546  0.002922  0.001944  0.002939
   0.35465  0.65310  0.07357  1.25155  0.002749  0.001846  0.003119
   0.36788  0.64009  0.07595  1.26811  0.002582  0.001750  0.003312
   0.38099  0.62718  0.07823  1.28434  0.002429  0.001661  0.003509
   0.39398  0.61438  0.08039  1.30109  0.002282  0.001574  0.003723
   0.40680  0.60172  0.08243  1.31762  0.002146  0.001493  0.003943
   0.41947  0.58919  0.08432  1.33309  0.002025  0.001421  0.004155
   0.43206  0.57671  0.08605  1.34617  0.001926  0.001359  0.004334
   0.44464  0.56424  0.08764  1.35803  0.001839  0.001304  0.004499
   0.45719  0.55177  0.08909  1.36938  0.001759  0.001252  0.004662
   0.46971  0.53932  0.09040  1.37973  0.001686  0.001205  0.004813
   0.48223  0.52685  0.09158  1.38908  0.001621  0.001162  0.004952
   0.49475  0.51437  0.09261  1.39755  0.001561  0.001122  0.005080
   0.50729  0.50187  0.09350  1.40456  0.001510  0.001087  0.005185
   0.51988  0.48930  0.09425  1.41007  0.001467  0.001056  0.005263
   0.53256  0.47664  0.09488  1.41494  0.001427  0.001027  0.005329
   0.54530  0.46391  0.09539  1.41964  0.001388  0.000999  0.005393
   0.55810  0.45111  0.09579  1.42442  0.001349  0.000971  0.005458
   0.57096  0.43826  0.09608  1.42933  0.001310  0.000942  0.005527
   0.58384  0.42537  0.09626  1.43419  0.001272  0.000914  0.005594
   0.59676  0.41246  0.09634  1.43925  0.001233  0.000886  0.005666
   0.60970  0.39952  0.09632  1.44431  0.001195  0.000858  0.005737
   0.62265  0.38657  0.09619  1.44974  0.001156  0.000829  0.005816
   0.63561  0.37361  0.09596  1.45494  0.001118  0.000801  0.005891
   0.64857  0.36065  0.09562  1.46067  0.001079  0.000772  0.005976
   0.66154  0.34770  0.09519  1.46634  0.001040  0.000744  0.006060
   0.67449  0.33475  0.09466  1.47237  0.001001  0.000716  0.006152
   0.68744  0.32182  0.09402  1.47856  0.000963  0.000687  0.006246
