#    s        x        y     Ue/Vinf    Dstar     Theta      Cf
   1.00762  0.01298  0.02306  0.92945  0.000081  0.000035  0.005221
   1.01043  0.01095  0.02111  0.88697  0.000074  0.000032  0.005657
   1.01306  0.00915  0.01920  0.83400  0.000070  0.000030  0.005714
   1.01553  0.00755  0.01732  0.77525  0.000066  0.000029  0.005714
   1.01786  0.00614  0.01547  0.70975  0.000062  0.000027  0.005606
   1.02006  0.00489  0.01365  0.63897  0.000060  0.000026  0.005250
   1.02215  0.00380  0.01187  0.56475  0.000057  0.000025  0.004928
   1.02413  0.00285  0.01012  0.48752  0.000054  0.000024  0.004347
   1.02603  0.00204  0.00842  0.40322  0.000050  0.000023  0.004063
   1.02783  0.00136  0.00674  0.30934  0.000049  0.000022  0.003101
   1.02956  0.00081  0.00510  0.21231  0.000045  0.000020  0.002356
   1.03122  0.00040  0.00349  0.09819  0.000042  0.000019  0.001184
   1.03282  0.00013  0.00192 -0.02244  0.000042  0.000019  0.000270
   1.03435  0.00001  0.00039 -0.15379  0.000038  0.000017  0.002054
   1.03586  0.00003 -0.00111 -0.30034  0.000037  0.000016  0.004163
   1.03737  0.00021 -0.00262 -0.47114  0.000034  0.000015  0.007183
   1.03892  0.00063 -0.00411 -0.65612  0.000034  0.000015  0.009807
   1.04052  0.00135 -0.00554 -0.81148  0.000037  0.000016  0.010648
   1.04216  0.00235 -0.00684 -0.90011  0.000046  0.000019  0.008706
   1.04388  0.00359 -0.00803 -0.92765  0.000060  0.000024  0.006008
   1.04570  0.00500 -0.00917 -0.95796  0.000063  0.000027  0.006720
   1.04760  0.00656 -0.01028 -0.99045  0.000069  0.000029  0.006312
   1.04962  0.00827 -0.01134 -1.01155  0.000078  0.000032  0.005420
   1.05178  0.01016 -0.01237 -1.02530  0.000087  0.000036  0.004785
   1.05408  0.01223 -0.01339 -1.03553  0.000096  0.000039  0.004328
   1.05657  0.01450 -0.01440 -1.04317  0.000105  0.000042  0.003922
   1.05925  0.01699 -0.01542 -1.05019  0.000113  0.000046  0.003660
   1.06217  0.01972 -0.01645 -1.05695  0.000121  0.000049  0.003442
   1.06537  0.02274 -0.01749 -1.06323  0.000130  0.000052  0.003229
   1.06888  0.02609 -0.01855 -1.06766  0.000140  0.000056  0.002944
   1.07278  0.02983 -0.01965 -1.07107  0.000151  0.000060  0.002708
   1.07713  0.03404 -0.02077 -1.07326  0.000163  0.000064  0.002473
   1.08202  0.03878 -0.02194 -1.07530  0.000174  0.000069  0.002304
   1.08753  0.04416 -0.02315 -1.07656  0.000188  0.000074  0.002121
   1.09377  0.05027 -0.02441 -1.07762  0.000201  0.000079  0.001972
   1.10084  0.05722 -0.02572 -1.07813  0.000216  0.000084  0.001820
   1.10882  0.06508 -0.02707 -1.07819  0.000232  0.000090  0.001681
   1.11774  0.07390 -0.02844 -1.07764  0.000249  0.000097  0.001546
   1.12759  0.08365 -0.02981 -1.07679  0.000267  0.000103  0.001430
   1.13829  0.09427 -0.03116 -1.07537  0.000286  0.000110  0.001316
   1.14971  0.10561 -0.03248 -1.07480  0.000302  0.000117  0.001259
   1.16168  0.11751 -0.03374 -1.07412  0.000320  0.000124  0.001191
   1.17408  0.12985 -0.03493 -1.07342  0.000337  0.000130  0.001128
   1.18680  0.14252 -0.03605 -1.07269  0.000354  0.000137  0.001071
   1.19975  0.15543 -0.03709 -1.07203  0.000370  0.000143  0.001023
   1.21289  0.16854 -0.03805 -1.07122  0.000387  0.000149  0.000974
   1.22617  0.18179 -0.03895 -1.07069  0.000402  0.000155  0.000940
   1.23956  0.19515 -0.03979 -1.07026  0.000416  0.000161  0.000910
   1.25304  0.20861 -0.04057 -1.06983  0.000430  0.000167  0.000880
   1.26660  0.22215 -0.04130 -1.06994  0.000442  0.000172  0.000867
   1.28020  0.23574 -0.04197 -1.06996  0.000454  0.000177  0.000846
   1.29385  0.24937 -0.04260 -1.07033  0.000465  0.000181  0.000834
   1.30752  0.26303 -0.04318 -1.07109  0.000474  0.000186  0.000830
   1.32121  0.27671 -0.04372 -1.07197  0.000483  0.000190  0.000823
   1.33490  0.29039 -0.04421 -1.07317  0.000491  0.000194  0.000821
   1.34859  0.30407 -0.04466 -1.07449  0.000499  0.000198  0.000818
   1.36226  0.31774 -0.04506 -1.07611  0.000505  0.000201  0.000819
   1.37592  0.33139 -0.04541 -1.07776  0.000512  0.000205  0.000816
   1.38954  0.34501 -0.04571 -1.07975  0.000517  0.000208  0.000820
   1.40314  0.35860 -0.04596 -1.08176  0.000523  0.000211  0.000820
   1.41669  0.37215 -0.04615 -1.08392  0.000528  0.000214  0.000821
   1.43019  0.38565 -0.04628 -1.08620  0.000533  0.000216  0.000823
   1.44363  0.39910 -0.04635 -1.08853  0.000538  0.000219  0.000824
   1.45702  0.41248 -0.04635 -1.09092  0.000542  0.000221  0.000824
