#    s        x        y     Ue/Vinf    Dstar     Theta      Cf
   0.00000  1.00000  0.00126  0.91675  0.016535  0.006840  0.000258
   0.00497  0.99521  0.00257  0.92044  0.015846  0.006720  0.000293
   0.01338  0.98708  0.00476  0.92756  0.014696  0.006499  0.000361
   0.02298  0.97781  0.00724  0.93660  0.013496  0.006237  0.000445
   0.03367  0.96748  0.00995  0.94770  0.012289  0.005939  0.000548
   0.04522  0.95629  0.01285  0.96052  0.011147  0.005622  0.000665
   0.05739  0.94449  0.01585  0.97483  0.010094  0.005299  0.000797
   0.06998  0.93229  0.01890  0.98991  0.009170  0.004988  0.000937
   0.08280  0.91983  0.02195  1.00552  0.008360  0.004693  0.001082
   0.09577  0.90722  0.02499  1.02114  0.007666  0.004422  0.001228
   0.10882  0.89452  0.02798  1.03653  0.007072  0.004175  0.001373
   0.12191  0.88177  0.03093  1.05164  0.006557  0.003950  0.001516
   0.13503  0.86897  0.03383  1.06617  0.006116  0.003748  0.001653
   0.14816  0.85615  0.03668  1.08037  0.005727  0.003564  0.001788
   0.16130  0.84331  0.03947  1.09389  0.005391  0.003397  0.001917
   0.17445  0.83045  0.04221  1.10708  0.005090  0.003244  0.002043
   0.18760  0.81758  0.04489  1.11974  0.004824  0.003105  0.002164
   0.20075  0.80469  0.04751  1.13199  0.004584  0.002976  0.002281
   0.21390  0.79180  0.05008  1.14391  0.004366  0.002856  0.002396
   0.22705  0.77889  0.05259  1.15538  0.004170  0.002745  0.002506
   0.24019  0.76597  0.05504  1.16668  0.003987  0.002641  0.002615
   0.25334  0.75305  0.05744  1.17758  0.003820  0.002544  0.002719
   0.26648  0.74012  0.05977  1.18831  0.003664  0.002451  0.002823
   0.27962  0.72718  0.06205  1.19880  0.003519  0.002364  0.002925
   0.29275  0.71423  0.06427  1.20911  0.003383  0.002281  0.003025
   0.30589  0.70128  0.06643  1.21933  0.003254  0.002202  0.003125
   0.31901  0.68832  0.06853  1.22921  0.003134  0.002127  0.003220
   0.33213  0.67536  0.07057  1.23917  0.003019  0.002055  0.003318
   0.34525  0.66239  0.07255  1.24889  0.002910  0.001986  0.003413
   0.35836  0.64942  0.07446  1.25865  0.002806  0.001919  0.003510
   0.37146  0.63645  0.07632  1.26817  0.002707  0.001855  0.003604
   0.38456  0.62348  0.07811  1.27782  0.002611  0.001792  0.003700
   0.39764  0.61051  0.07984  1.28733  0.002520  0.001732  0.003795
   0.41072  0.59754  0.08150  1.29684  0.002432  0.001674  0.003891
   0.42379  0.58457  0.08310  1.30632  0.002347  0.001617  0.003986
   0.43685  0.57160  0.08463  1.31591  0.002264  0.001562  0.004084
   0.44989  0.55863  0.08609  1.32540  0.002185  0.001508  0.004181
   0.46293  0.54567  0.08748  1.33501  0.002107  0.001456  0.004281
   0.47595  0.53272  0.08880  1.34466  0.002032  0.001405  0.004381
   0.48896  0.51977  0.09006  1.35440  0.001958  0.001355  0.004483
   0.50195  0.50683  0.09124  1.36422  0.001886  0.001306  0.004588
   0.51493  0.49390  0.09234  1.37422  0.001816  0.001257  0.004696
   0.52790  0.48098  0.09337  1.38433  0.001747  0.001210  0.004807
   0.54084  0.46807  0.09433  1.39461  0.001679  0.001163  0.004923
   0.55376  0.45518  0.09520  1.40520  0.001612  0.001117  0.005045
   0.56665  0.44231  0.09599  1.41613  0.001545  0.001072  0.005176
   0.57950  0.42948  0.09671  1.42747  0.001479  0.001026  0.005318
   0.59230  0.41669  0.09734  1.43923  0.001412  0.000981  0.005473
   0.60503  0.40398  0.09788  1.45272  0.001340  0.000933  0.005673
   0.61761  0.39141  0.09832  1.46702  0.001267  0.000886  0.005902
   0.63009  0.37893  0.09863  1.47952  0.001204  0.000843  0.006101
   0.64250  0.36653  0.09882  1.49104  0.001146  0.000804  0.006286
   0.65486  0.35417  0.09887  1.50196  0.001092  0.000767  0.006464
   0.66718  0.34184  0.09880  1.51245  0.001040  0.000731  0.006640
   0.67946  0.32956  0.09859  1.52260  0.000991  0.000697  0.006814
   0.69172  0.31731  0.09824  1.53233  0.000944  0.000664  0.006985
   0.70394  0.30510  0.09776  1.54183  0.000898  0.000632  0.007158
   0.71612  0.29293  0.09714  1.55111  0.000854  0.000601  0.007332
   0.72828  0.28080  0.09638  1.56016  0.000811  0.000570  0.007508
   0.74040  0.26871  0.09548  1.56901  0.000769  0.000541  0.007685
   0.75247  0.25668  0.09443  1.57769  0.000729  0.000512  0.007867
   0.76451  0.24470  0.09324  1.58626  0.000689  0.000484  0.008053
   0.77650  0.23279  0.09190  1.59461  0.000650  0.000456  0.008242
   0.78845  0.22093  0.09041  1.60294  0.000612  0.000429  0.008441
   0.80034  0.20916  0.08877  1.61112  0.000574  0.000402  0.008646
   0.81217  0.19746  0.08697  1.61926  0.000537  0.000375  0.008862
   0.82394  0.18586  0.08502  1.62744  0.000500  0.000349  0.009095
   0.83563  0.17436  0.08291  1.63551  0.000464  0.000323  0.009345
   0.84724  0.16297  0.08064  1.64378  0.000427  0.000297  0.009629
   0.85875  0.15172  0.07821  1.65194  0.000391  0.000271  0.009949
   0.87014  0.14063  0.07563  1.66038  0.000354  0.000246  0.010337
   0.88139  0.12972  0.07290  1.66863  0.000317  0.000220  0.010795
   0.89246  0.11903  0.07001  1.67699  0.000281  0.000195  0.011325
   0.90331  0.10861  0.06699  1.68495  0.000246  0.000170  0.011709
   0.91389  0.09850  0.06385  1.69287  0.000223  0.000146  0.010996
   0.92413  0.08879  0.06061  1.70337  0.000228  0.000127  0.007455
   0.93395  0.07954  0.05730  1.72959  0.000291  0.000112  0.002192
   0.94327  0.07084  0.05397  1.74427  0.000307  0.000105  0.001357
   0.95201  0.06275  0.05066  1.75582  0.000298  0.000100  0.001292
   0.96011  0.05534  0.04741  1.76971  0.000284  0.000094  0.001310
   0.96752  0.04862  0.04426  1.78487  0.000268  0.000089  0.001371
   0.97426  0.04260  0.04124  1.80080  0.000252  0.000083  0.001461
   0.98035  0.03723  0.03837  1.81734  0.000236  0.000078  0.001588
   0.98584  0.03246  0.03565  1.83426  0.000221  0.000073  0.001749
   0.99078  0.02824  0.03308  1.85156  0.000205  0.000069  0.001970
   0.99525  0.02449  0.03065  1.86884  0.000191  0.000064  0.002217
   0.99929  0.02117  0.02835  1.88638  0.000176  0.000060  0.002549
   1.00297  0.01822  0.02616  1.90385  0.000162  0.000056  0.002968
   1.00633  0.01559  0.02407  1.92075  0.000149  0.000052  0.003420
   1.00941  0.01324  0.02206  1.93748  0.000136  0.000049  0.004007
   1.01226  0.01114  0.02014  1.95331  0.000125  0.000045  0.004693
   1.01490  0.00928  0.01827  1.96794  0.000114  0.000042  0.005506
   1.01735  0.00761  0.01646  1.98074  0.000103  0.000039  0.006452
   1.01965  0.00614  0.01470  1.99105  0.000094  0.000036  0.007565
   1.02181  0.00484  0.01298  1.99760  0.000085  0.000033  0.008754
   1.02385  0.00370  0.01129  2.00016  0.000077  0.000030  0.010268
   1.02577  0.00272  0.00963  1.99566  0.000070  0.000028  0.011913
   1.02760  0.00190  0.00800  1.98222  0.000063  0.000026  0.013512
   1.02934  0.00123  0.00639  1.95921  0.000058  0.000024  0.015385
   1.03101  0.00070  0.00481  1.92246  0.000053  0.000022  0.017031
   1.03261  0.00032  0.00325  1.87131  0.000049  0.000021  0.018593
   1.03415  0.00009  0.00173  1.80413  0.000046  0.000020  0.019694
   1.03562  0.00000  0.00026  1.72274  0.000043  0.000019  0.020207
   1.03708  0.00005 -0.00119  1.62736  0.000041  0.000018  0.020233
   1.03857  0.00024 -0.00267  1.51371  0.000039  0.000017  0.020141
   1.04011  0.00059 -0.00417  1.37801  0.000038  0.000017  0.019000
   1.04169  0.00112 -0.00566  1.22632  0.000038  0.000017  0.017397
   1.04333  0.00184 -0.00713  1.06311  0.000039  0.000017  0.014917
   1.04502  0.00274 -0.00857  0.89778  0.000040  0.000018  0.012357
   1.04678  0.00382 -0.00996  0.73492  0.000042  0.000019  0.009670
   1.04862  0.00508 -0.01130  0.58221  0.000044  0.000020  0.007176
   1.05055  0.00651 -0.01258  0.44213  0.000047  0.000021  0.005112
   1.05258  0.00812 -0.01382  0.31356  0.000051  0.000023  0.003369
   1.05473  0.00991 -0.01501  0.19948  0.000055  0.000025  0.001941
   1.05701  0.01189 -0.01615  0.09718  0.000058  0.000026  0.000895
   1.05944  0.01406 -0.01726  0.00527  0.000067  0.000030  0.000042
   1.06206  0.01644 -0.01832 -0.07674  0.000067  0.000030  0.000611
   1.06487  0.01906 -0.01936 -0.15023  0.000076  0.000034  0.001022
   1.06793  0.02195 -0.02036 -0.21670  0.000080  0.000036  0.001436
   1.07126  0.02513 -0.02134 -0.27682  0.000089  0.000039  0.001600
   1.07491  0.02866 -0.02229 -0.33171  0.000094  0.000042  0.001831
   1.07894  0.03258 -0.02322 -0.38184  0.000103  0.000045  0.001878
   1.08341  0.03696 -0.02412 -0.42781  0.000111  0.000049  0.001964
   1.08840  0.04187 -0.02499 -0.46978  0.000121  0.000053  0.001945
   1.09400  0.04741 -0.02583 -0.50870  0.000130  0.000057  0.001949
   1.10028  0.05364 -0.02661 -0.54434  0.000142  0.000061  0.001891
   1.10733  0.06065 -0.02734 -0.57662  0.000154  0.000066  0.001827
   1.11521  0.06850 -0.02798 -0.60613  0.000167  0.000072  0.001758
   1.12394  0.07721 -0.02853 -0.63251  0.000181  0.000077  0.001670
   1.13350  0.08676 -0.02896 -0.65578  0.000196  0.000083  0.001581
   1.14382  0.09708 -0.02927 -0.67634  0.000212  0.000090  0.001500
   1.15480  0.10806 -0.02944 -0.69391  0.000229  0.000096  0.001408
   1.16633  0.11959 -0.02948 -0.70906  0.000245  0.000103  0.001330
   1.17830  0.13156 -0.02940 -0.72204  0.000262  0.000110  0.001256
   1.19062  0.14388 -0.02921 -0.73304  0.000279  0.000116  0.001185
   1.20321  0.15647 -0.02892 -0.74251  0.000296  0.000123  0.001124
   1.21603  0.16928 -0.02854 -0.75062  0.000313  0.000129  0.001066
   1.22902  0.18226 -0.02808 -0.75758  0.000330  0.000136  0.001013
   1.24216  0.19540 -0.02757 -0.76363  0.000346  0.000142  0.000967
   1.25543  0.20865 -0.02700 -0.76888  0.000362  0.000148  0.000924
   1.26880  0.22201 -0.02639 -0.77356  0.000378  0.000154  0.000887
   1.28226  0.23545 -0.02575 -0.77774  0.000393  0.000160  0.000853
   1.29580  0.24897 -0.02509 -0.78138  0.000409  0.000166  0.000820
   1.30939  0.26255 -0.02441 -0.78481  0.000423  0.000172  0.000794
   1.32303  0.27617 -0.02372 -0.78787  0.000437  0.000178  0.000769
   1.33668  0.28980 -0.02303 -0.79082  0.000450  0.000183  0.000749
   1.35031  0.30342 -0.02235 -0.79359  0.000463  0.000188  0.000731
   1.36392  0.31701 -0.02167 -0.79627  0.000475  0.000193  0.000715
   1.37749  0.33057 -0.02102 -0.79892  0.000486  0.000198  0.000703
   1.39104  0.34410 -0.02038 -0.80166  0.000495  0.000202  0.000696
   1.40455  0.35760 -0.01977 -0.80438  0.000505  0.000206  0.000688
   1.41805  0.37108 -0.01918 -0.80743  0.000511  0.000210  0.000689
   1.43153  0.38455 -0.01863 -0.81074  0.000517  0.000213  0.000694
   1.44502  0.39803 -0.01810 -0.81501  0.000517  0.000215  0.000715
   1.45855  0.41155 -0.01759 -0.81991  0.000515  0.000217  0.000740
   1.47213  0.42512 -0.01707 -0.82341  0.000525  0.000220  0.000724
   1.48575  0.43873 -0.01653 -0.82654  0.000535  0.000224  0.000707
   1.49941  0.45238 -0.01599 -0.82933  0.000546  0.000227  0.000689
   1.51308  0.46604 -0.01544 -0.83169  0.000558  0.000231  0.000668
   1.52678  0.47973 -0.01488 -0.83388  0.000569  0.000235  0.000650
   1.54049  0.49342 -0.01432 -0.83603  0.000579  0.000239  0.000637
   1.55420  0.50712 -0.01376 -0.83791  0.000590  0.000242  0.000622
   1.56791  0.52082 -0.01320 -0.83969  0.000601  0.000246  0.000609
   1.58161  0.53451 -0.01265 -0.84139  0.000610  0.000250  0.000598
   1.59529  0.54818 -0.01210 -0.84306  0.000620  0.000253  0.000589
   1.60897  0.56185 -0.01155 -0.84471  0.000628  0.000257  0.000581
   1.62263  0.57550 -0.01102 -0.84624  0.000637  0.000260  0.000573
   1.63629  0.58914 -0.01049 -0.84777  0.000645  0.000263  0.000566
   1.64993  0.60278 -0.00997 -0.84925  0.000654  0.000267  0.000559
   1.66356  0.61640 -0.00947 -0.85079  0.000661  0.000270  0.000555
   1.67719  0.63002 -0.00897 -0.85221  0.000669  0.000273  0.000549
   1.69081  0.64363 -0.00849 -0.85379  0.000675  0.000276  0.000547
   1.70442  0.65723 -0.00802 -0.85529  0.000682  0.000279  0.000543
   1.71802  0.67083 -0.00757 -0.85676  0.000688  0.000282  0.000540
   1.73162  0.68442 -0.00713 -0.85831  0.000694  0.000284  0.000538
   1.74522  0.69801 -0.00670 -0.85989  0.000700  0.000287  0.000536
   1.75881  0.71159 -0.00629 -0.86147  0.000705  0.000289  0.000535
   1.77239  0.72518 -0.00589 -0.86307  0.000710  0.000292  0.000534
   1.78598  0.73875 -0.00552 -0.86477  0.000714  0.000294  0.000534
   1.79956  0.75233 -0.00515 -0.86637  0.000720  0.000297  0.000532
   1.81314  0.76591 -0.00481 -0.86820  0.000723  0.000299  0.000535
   1.82672  0.77948 -0.00448 -0.86994  0.000727  0.000301  0.000535
   1.84030  0.79306 -0.00416 -0.87172  0.000731  0.000303  0.000535
   1.85388  0.80663 -0.00387 -0.87368  0.000733  0.000305  0.000538
   1.86746  0.82021 -0.00359 -0.87548  0.000737  0.000307  0.000538
   1.88104  0.83378 -0.00332 -0.87754  0.000738  0.000308  0.000542
   1.89461  0.84736 -0.00307 -0.87949  0.000741  0.000310  0.000543
   1.90819  0.86093 -0.00284 -0.88153  0.000744  0.000312  0.000545
   1.92175  0.87449 -0.00262 -0.88384  0.000744  0.000313  0.000552
   1.93529  0.88804 -0.00242 -0.88589  0.000747  0.000314  0.000552
   1.94880  0.90154 -0.00223 -0.88814  0.000748  0.000316  0.000556
