#    s        x        y     Ue/Vinf    Dstar     Theta      Cf
   0.00000  1.00000  0.00000  0.84728  0.004607  0.002532  0.000876
   0.00486  0.99524  0.00099  0.85886  0.004243  0.002402  0.000999
   0.01282  0.98754  0.00298  0.88742  0.003509  0.002122  0.001330
   0.02169  0.97897  0.00528  0.92032  0.002890  0.001853  0.001730
   0.03136  0.96960  0.00767  0.94960  0.002470  0.001649  0.002097
   0.04184  0.95939  0.01003  0.96720  0.002258  0.001535  0.002310
   0.05326  0.94822  0.01243  0.97708  0.002147  0.001468  0.002414
   0.06556  0.93618  0.01494  0.98575  0.002053  0.001408  0.002499
   0.07853  0.92348  0.01757  0.99395  0.001967  0.001352  0.002576
   0.09196  0.91033  0.02029  1.00201  0.001884  0.001297  0.002651
   0.10564  0.89693  0.02306  1.01031  0.001803  0.001243  0.002730
   0.11945  0.88341  0.02587  1.01863  0.001724  0.001190  0.002810
   0.13334  0.86981  0.02871  1.02727  0.001645  0.001137  0.002897
   0.14728  0.85617  0.03158  1.03610  0.001567  0.001085  0.002989
   0.16126  0.84249  0.03447  1.04515  0.001491  0.001034  0.003087
   0.17528  0.82878  0.03738  1.05450  0.001415  0.000983  0.003193
   0.18932  0.81505  0.04031  1.06399  0.001340  0.000933  0.003305
   0.20337  0.80131  0.04324  1.07393  0.001266  0.000883  0.003429
   0.21742  0.78757  0.04616  1.08394  0.001194  0.000835  0.003559
   0.23143  0.77386  0.04908  1.09422  0.001123  0.000787  0.003701
   0.24540  0.76019  0.05198  1.10472  0.001053  0.000740  0.003853
   0.25932  0.74658  0.05485  1.11538  0.000985  0.000695  0.004014
   0.27317  0.73302  0.05768  1.12624  0.000919  0.000650  0.004185
   0.28696  0.71952  0.06048  1.13717  0.000856  0.000606  0.004358
   0.30067  0.70609  0.06322  1.14820  0.000796  0.000564  0.004525
   0.31430  0.69272  0.06591  1.15917  0.000740  0.000522  0.004662
   0.32785  0.67943  0.06854  1.17012  0.000691  0.000483  0.004727
   0.34130  0.66622  0.07109  1.18071  0.000655  0.000446  0.004616
   0.35465  0.65310  0.07357  1.19101  0.000641  0.000412  0.004132
   0.36788  0.64009  0.07595  1.20234  0.000676  0.000382  0.002996
   0.38099  0.62718  0.07823  1.22163  0.000814  0.000349  0.001217
   0.39398  0.61438  0.08039  1.26257  0.001048  0.000295  0.000069
   0.40680  0.60172  0.08243  1.26623  0.001024  0.000290  0.000076
   0.41947  0.58919  0.08432  1.27100  0.000949  0.000284  0.000146
   0.43206  0.57671  0.08605  1.27628  0.000878  0.000277  0.000231
