#    s        x        y     Ue/Vinf    Dstar     Theta      Cf
   1.00472  0.01603  0.02681  0.98334  0.000090  0.000038  0.005031
   1.00777  0.01375  0.02477  0.94645  0.000084  0.000036  0.005224
   1.01063  0.01169  0.02279  0.90569  0.000079  0.000034  0.005317
   1.01330  0.00986  0.02085  0.86189  0.000074  0.000032  0.005438
   1.01581  0.00822  0.01895  0.81153  0.000068  0.000030  0.005750
   1.01818  0.00676  0.01708  0.75193  0.000066  0.000029  0.005524
   1.02042  0.00548  0.01524  0.68888  0.000062  0.000027  0.005508
   1.02255  0.00435  0.01343  0.61814  0.000059  0.000026  0.005163
   1.02458  0.00337  0.01166  0.54485  0.000057  0.000025  0.004715
   1.02651  0.00251  0.00993  0.46832  0.000054  0.000024  0.004295
   1.02836  0.00178  0.00823  0.38541  0.000051  0.000023  0.003741
   1.03014  0.00118  0.00656  0.29540  0.000049  0.000022  0.003030
   1.03184  0.00069  0.00493  0.20120  0.000047  0.000021  0.002125
   1.03347  0.00033  0.00333  0.09600  0.000042  0.000019  0.001146
   1.03505  0.00011  0.00177 -0.02097  0.000042  0.000019  0.000250
   1.03658  0.00001  0.00024 -0.14166  0.000040  0.000018  0.001778
   1.03809  0.00005 -0.00126 -0.27743  0.000038  0.000017  0.003757
   1.03960  0.00022 -0.00277 -0.43584  0.000035  0.000016  0.006324
   1.04115  0.00061 -0.00426 -0.61104  0.000034  0.000015  0.009069
   1.04273  0.00126 -0.00570 -0.77217  0.000036  0.000016  0.010438
   1.04435  0.00219 -0.00704 -0.88465  0.000042  0.000018  0.009772
   1.04604  0.00337 -0.00825 -0.92572  0.000056  0.000022  0.006536
   1.04782  0.00473 -0.00939 -0.95110  0.000063  0.000026  0.006412
   1.04967  0.00623 -0.01048 -0.98490  0.000067  0.000028  0.006616
   1.05163  0.00788 -0.01153 -1.01150  0.000074  0.000031  0.005879
   1.05370  0.00969 -0.01254 -1.02714  0.000084  0.000034  0.005021
   1.05590  0.01166 -0.01352 -1.03856  0.000092  0.000037  0.004556
   1.05825  0.01380 -0.01449 -1.04870  0.000100  0.000040  0.004248
   1.06078  0.01614 -0.01544 -1.05565  0.000109  0.000044  0.003815
   1.06350  0.01869 -0.01640 -1.06264  0.000117  0.000047  0.003609
   1.06645  0.02148 -0.01735 -1.06743  0.000126  0.000050  0.003279
   1.06967  0.02455 -0.01831 -1.07107  0.000136  0.000054  0.003015
   1.07320  0.02794 -0.01927 -1.07339  0.000147  0.000058  0.002754
   1.07709  0.03171 -0.02026 -1.07487  0.000158  0.000062  0.002531
   1.08141  0.03591 -0.02126 -1.07630  0.000168  0.000066  0.002366
   1.08623  0.04063 -0.02229 -1.07710  0.000180  0.000071  0.002189
   1.09165  0.04594 -0.02335 -1.07705  0.000194  0.000076  0.002007
   1.09776  0.05195 -0.02444 -1.07684  0.000208  0.000081  0.001864
   1.10465  0.05875 -0.02556 -1.07597  0.000223  0.000086  0.001714
   1.11242  0.06643 -0.02670 -1.07461  0.000240  0.000092  0.001576
   1.12112  0.07505 -0.02786 -1.07289  0.000257  0.000099  0.001454
   1.13074  0.08461 -0.02902 -1.07169  0.000273  0.000105  0.001375
   1.14123  0.09503 -0.03016 -1.07055  0.000290  0.000112  0.001295
   1.15246  0.10621 -0.03126 -1.06946  0.000307  0.000119  0.001221
   1.16430  0.11800 -0.03231 -1.06857  0.000324  0.000125  0.001159
   1.17662  0.13028 -0.03329 -1.06735  0.000343  0.000132  0.001089
   1.18931  0.14294 -0.03420 -1.06638  0.000359  0.000138  0.001039
   1.20227  0.15588 -0.03505 -1.06547  0.000376  0.000145  0.000993
   1.21545  0.16903 -0.03583 -1.06477  0.000391  0.000151  0.000956
   1.22878  0.18234 -0.03655 -1.06444  0.000405  0.000157  0.000930
   1.24222  0.19577 -0.03721 -1.06447  0.000418  0.000162  0.000912
   1.25574  0.20928 -0.03782 -1.06479  0.000429  0.000167  0.000896
   1.26932  0.22284 -0.03838 -1.06565  0.000439  0.000172  0.000891
   1.28291  0.23643 -0.03889 -1.06674  0.000448  0.000177  0.000885
   1.29652  0.25002 -0.03934 -1.06805  0.000457  0.000181  0.000878
   1.31012  0.26362 -0.03975 -1.06975  0.000465  0.000185  0.000878
   1.32370  0.27719 -0.04010 -1.07159  0.000472  0.000188  0.000876
   1.33725  0.29074 -0.04039 -1.07357  0.000479  0.000192  0.000873
   1.35075  0.30424 -0.04063 -1.07575  0.000486  0.000195  0.000873
   1.36420  0.31769 -0.04080 -1.07798  0.000492  0.000199  0.000870
   1.37759  0.33107 -0.04090 -1.08036  0.000498  0.000202  0.000870
   1.39089  0.34437 -0.04093 -1.08273  0.000504  0.000205  0.000867
   1.40410  0.35758 -0.04088 -1.08505  0.000510  0.000207  0.000863
   1.41719  0.37068 -0.04075 -1.08747  0.000516  0.000210  0.000860
   1.43015  0.38364 -0.04052 -1.08983  0.000521  0.000213  0.000856
   1.44296  0.39644 -0.04018 -1.09128  0.000531  0.000216  0.000833
   1.45567  0.40914 -0.03971 -1.09056  0.000553  0.000221  0.000766
   1.46835  0.42181 -0.03910 -1.08808  0.000583  0.000227  0.000676
   1.48104  0.43448 -0.03834 -1.08363  0.000625  0.000235  0.000560
   1.49381  0.44721 -0.03744 -1.07726  0.000688  0.000244  0.000417
   1.50674  0.46010 -0.03640 -1.06955  0.000780  0.000255  0.000254
   1.51990  0.47321 -0.03523 -1.06253  0.000896  0.000265  0.000112
   1.53329  0.48654 -0.03396 -1.05712  0.001014  0.000273  0.000022
   1.54686  0.50004 -0.03263 -1.05274  0.001104  0.000280 -0.000018
   1.56056  0.51367 -0.03123 -1.04880  0.001126  0.000286 -0.000017
   1.57439  0.52743 -0.02979 -1.02885  0.000959  0.000318  0.000243
   1.58834  0.54129 -0.02830 -1.00300  0.000709  0.000362  0.001609
   1.60237  0.55524 -0.02679 -0.99530  0.000625  0.000388  0.002791
   1.61647  0.56926 -0.02527 -0.98979  0.000619  0.000418  0.003360
