#    s        x        y     Ue/Vinf    Dstar     Theta      Cf
   0.00000  1.00000  0.00000  0.84433  0.004028  0.002262  0.000891
   0.00486  0.99524  0.00099  0.85650  0.003704  0.002141  0.001013
   0.01282  0.98754  0.00298  0.88730  0.003035  0.001874  0.001353
   0.02169  0.97897  0.00528  0.92204  0.002486  0.001626  0.001758
   0.03136  0.96960  0.00767  0.95202  0.002124  0.001444  0.002119
   0.04184  0.95939  0.01003  0.96899  0.001949  0.001346  0.002317
   0.05326  0.94822  0.01243  0.97787  0.001861  0.001290  0.002404
   0.06556  0.93618  0.01494  0.98573  0.001784  0.001240  0.002477
   0.07853  0.92348  0.01757  0.99329  0.001712  0.001191  0.002544
   0.09196  0.91033  0.02029  1.00079  0.001643  0.001144  0.002609
   0.10564  0.89693  0.02306  1.00860  0.001573  0.001096  0.002679
   0.11945  0.88341  0.02587  1.01649  0.001504  0.001049  0.002751
   0.13334  0.86981  0.02871  1.02471  0.001436  0.001002  0.002829
   0.14728  0.85617  0.03158  1.03317  0.001368  0.000955  0.002913
   0.16126  0.84249  0.03447  1.04183  0.001301  0.000910  0.003001
   0.17528  0.82878  0.03738  1.05082  0.001234  0.000864  0.003098
   0.18932  0.81505  0.04031  1.05997  0.001168  0.000819  0.003200
   0.20337  0.80131  0.04324  1.06955  0.001103  0.000774  0.003314
   0.21742  0.78757  0.04616  1.07924  0.001039  0.000731  0.003435
   0.23143  0.77386  0.04908  1.08917  0.000975  0.000688  0.003566
   0.24540  0.76019  0.05198  1.09933  0.000913  0.000645  0.003709
   0.25932  0.74658  0.05485  1.10966  0.000852  0.000604  0.003863
   0.27317  0.73302  0.05768  1.12018  0.000792  0.000563  0.004029
   0.28696  0.71952  0.06048  1.13073  0.000735  0.000523  0.004200
   0.30067  0.70609  0.06322  1.14145  0.000680  0.000484  0.004371
   0.31430  0.69272  0.06591  1.15205  0.000628  0.000447  0.004517
   0.32785  0.67943  0.06854  1.16261  0.000583  0.000410  0.004594
   0.34130  0.66622  0.07109  1.17284  0.000548  0.000376  0.004485
   0.35465  0.65310  0.07357  1.18274  0.000537  0.000345  0.003951
   0.36788  0.64009  0.07595  1.19422  0.000576  0.000318  0.002676
   0.38099  0.62718  0.07823  1.21699  0.000725  0.000287  0.000823
   0.39398  0.61438  0.08039  1.24836  0.000893  0.000251  0.000058
   0.40680  0.60172  0.08243  1.25242  0.000857  0.000246  0.000081
   0.41947  0.58919  0.08432  1.25770  0.000784  0.000240  0.000158
   0.43206  0.57671  0.08605  1.26336  0.000723  0.000234  0.000242
   0.44464  0.56424  0.08764  1.26906  0.000672  0.000228  0.000327
   0.45719  0.55177  0.08909  1.27474  0.000627  0.000221  0.000419
   0.46971  0.53932  0.09040  1.27980  0.000590  0.000215  0.000506
   0.48223  0.52685  0.09158  1.28410  0.000559  0.000210  0.000586
   0.49475  0.51437  0.09261  1.28747  0.000534  0.000205  0.000658
   0.50729  0.50187  0.09350  1.28952  0.000517  0.000201  0.000710
   0.51988  0.48930  0.09425  1.29023  0.000505  0.000198  0.000739
   0.53256  0.47664  0.09488  1.29018  0.000497  0.000195  0.000754
   0.54530  0.46391  0.09539  1.28997  0.000490  0.000192  0.000767
   0.55810  0.45111  0.09579  1.28976  0.000482  0.000189  0.000780
   0.57096  0.43826  0.09608  1.28944  0.000475  0.000187  0.000793
   0.58384  0.42537  0.09626  1.28904  0.000468  0.000184  0.000805
   0.59676  0.41246  0.09634  1.28868  0.000460  0.000181  0.000819
   0.60970  0.39952  0.09632  1.28829  0.000452  0.000178  0.000834
   0.62265  0.38657  0.09619  1.28789  0.000444  0.000175  0.000850
   0.63561  0.37361  0.09596  1.28735  0.000437  0.000172  0.000864
   0.64857  0.36065  0.09562  1.28682  0.000429  0.000169  0.000879
   0.66154  0.34770  0.09519  1.28636  0.000421  0.000166  0.000898
   0.67449  0.33475  0.09466  1.28579  0.000412  0.000162  0.000916
   0.68744  0.32182  0.09402  1.28506  0.000404  0.000159  0.000931
   0.70037  0.30891  0.09328  1.28454  0.000395  0.000156  0.000954
   0.71328  0.29602  0.09244  1.28389  0.000387  0.000152  0.000977
   0.72617  0.28317  0.09149  1.28308  0.000378  0.000149  0.000997
   0.73903  0.27036  0.09044  1.28240  0.000369  0.000145  0.001025
   0.75185  0.25759  0.08928  1.28149  0.000360  0.000142  0.001048
   0.76463  0.24487  0.08801  1.28068  0.000350  0.000138  0.001078
   0.77736  0.23222  0.08663  1.27972  0.000340  0.000134  0.001108
   0.79002  0.21964  0.08514  1.27878  0.000330  0.000130  0.001143
   0.80262  0.20715  0.08353  1.27764  0.000320  0.000126  0.001178
   0.81513  0.19476  0.08181  1.27640  0.000310  0.000122  0.001214
