#    s        x        y     Ue/Vinf    Dstar     Theta      Cf
   1.00638  0.01499  0.02569  1.02300  0.000088  0.000038  0.005241
   1.00947  0.01272  0.02360  0.98646  0.000081  0.000035  0.005589
   1.01232  0.01071  0.02157  0.94349  0.000076  0.000033  0.005773
   1.01498  0.00893  0.01959  0.89416  0.000070  0.000031  0.006129
   1.01747  0.00737  0.01766  0.83535  0.000067  0.000029  0.006034
   1.01981  0.00600  0.01577  0.77284  0.000064  0.000028  0.005937
   1.02201  0.00479  0.01393  0.70699  0.000062  0.000027  0.005584
   1.02409  0.00374  0.01214  0.63981  0.000058  0.000026  0.005382
   1.02605  0.00283  0.01039  0.56748  0.000055  0.000024  0.005029
   1.02792  0.00205  0.00870  0.48786  0.000052  0.000023  0.004706
   1.02969  0.00139  0.00705  0.40665  0.000051  0.000022  0.003787
   1.03139  0.00086  0.00544  0.31856  0.000046  0.000021  0.003581
   1.03301  0.00045  0.00387  0.21854  0.000046  0.000021  0.002301
   1.03455  0.00017  0.00235  0.11598  0.000041  0.000018  0.001447
   1.03603  0.00002  0.00088 -0.00412  0.000041  0.000018  0.000051
   1.03749  0.00001 -0.00058 -0.12730  0.000039  0.000018  0.001643
   1.03895  0.00012 -0.00203 -0.26378  0.000037  0.000017  0.003624
   1.04043  0.00038 -0.00349 -0.42771  0.000034  0.000015  0.006438
   1.04194  0.00086 -0.00492 -0.61214  0.000033  0.000015  0.009431
   1.04349  0.00164 -0.00626 -0.75059  0.000039  0.000017  0.009009
   1.04510  0.00268 -0.00750 -0.83767  0.000045  0.000019  0.008554
   1.04679  0.00393 -0.00863 -0.88174  0.000056  0.000023  0.006497
   1.04857  0.00537 -0.00968 -0.90343  0.000067  0.000027  0.005522
   1.05046  0.00695 -0.01071 -0.93248  0.000070  0.000030  0.005940
   1.05247  0.00869 -0.01170 -0.96009  0.000076  0.000032  0.005530
   1.05461  0.01061 -0.01267 -0.97704  0.000086  0.000035  0.004701
   1.05692  0.01272 -0.01362 -0.98792  0.000096  0.000039  0.004148
   1.05942  0.01503 -0.01456 -0.99694  0.000104  0.000042  0.003817
   1.06214  0.01758 -0.01551 -1.00626  0.000112  0.000045  0.003632
   1.06512  0.02040 -0.01646 -1.01557  0.000120  0.000049  0.003447
   1.06840  0.02354 -0.01743 -1.02248  0.000130  0.000052  0.003129
   1.07204  0.02704 -0.01842 -1.02809  0.000140  0.000056  0.002875
   1.07611  0.03099 -0.01942 -1.03265  0.000151  0.000060  0.002646
   1.08070  0.03545 -0.02046 -1.03547  0.000164  0.000065  0.002390
   1.08590  0.04054 -0.02153 -1.03783  0.000177  0.000070  0.002204
   1.09182  0.04636 -0.02264 -1.04000  0.000190  0.000075  0.002048
   1.09857  0.05301 -0.02378 -1.04115  0.000206  0.000081  0.001868
   1.10624  0.06060 -0.02494 -1.04187  0.000222  0.000087  0.001719
   1.11489  0.06916 -0.02612 -1.04229  0.000238  0.000093  0.001589
   1.12451  0.07871 -0.02729 -1.04189  0.000257  0.000100  0.001452
   1.13501  0.08915 -0.02843 -1.04088  0.000277  0.000107  0.001330
   1.14628  0.10036 -0.02953 -1.03990  0.000296  0.000114  0.001240
   1.15815  0.11218 -0.03058 -1.03926  0.000313  0.000121  0.001175
   1.17043  0.12443 -0.03156 -1.03974  0.000328  0.000128  0.001148
   1.18301  0.13698 -0.03248 -1.03946  0.000345  0.000134  0.001080
   1.19582  0.14976 -0.03332 -1.03933  0.000362  0.000141  0.001031
   1.20880  0.16271 -0.03410 -1.03909  0.000378  0.000147  0.000985
   1.22191  0.17581 -0.03482 -1.03869  0.000394  0.000153  0.000940
   1.23513  0.18901 -0.03548 -1.03865  0.000408  0.000159  0.000912
   1.24844  0.20230 -0.03609 -1.03858  0.000422  0.000164  0.000882
   1.26181  0.21566 -0.03666 -1.03868  0.000436  0.000170  0.000860
   1.27524  0.22908 -0.03720 -1.03902  0.000447  0.000175  0.000843
   1.28871  0.24254 -0.03769 -1.03937  0.000459  0.000180  0.000825
   1.30221  0.25603 -0.03815 -1.04005  0.000470  0.000184  0.000815
   1.31573  0.26955 -0.03858 -1.04109  0.000478  0.000188  0.000811
   1.32927  0.28308 -0.03898 -1.04208  0.000488  0.000193  0.000802
   1.34280  0.29661 -0.03935 -1.04352  0.000495  0.000196  0.000802
   1.35634  0.31014 -0.03969 -1.04496  0.000503  0.000200  0.000797
   1.36986  0.32366 -0.03999 -1.04659  0.000510  0.000204  0.000795
   1.38337  0.33717 -0.04026 -1.04838  0.000516  0.000207  0.000795
   1.39686  0.35065 -0.04050 -1.05034  0.000522  0.000210  0.000795
   1.41032  0.36412 -0.04069 -1.05233  0.000528  0.000213  0.000794
   1.42376  0.37755 -0.04085 -1.05452  0.000533  0.000216  0.000795
   1.43716  0.39095 -0.04097 -1.05664  0.000538  0.000219  0.000793
   1.45052  0.40431 -0.04104 -1.05896  0.000543  0.000221  0.000795
   1.46383  0.41763 -0.04106 -1.06126  0.000548  0.000224  0.000794
   1.47709  0.43088 -0.04103 -1.06365  0.000553  0.000226  0.000795
   1.49029  0.44408 -0.04094 -1.06598  0.000557  0.000229  0.000793
   1.50340  0.45719 -0.04079 -1.06838  0.000562  0.000231  0.000792
   1.51643  0.47022 -0.04057 -1.07063  0.000567  0.000233  0.000789
