#    s        x        y     Ue/Vinf    Dstar     Theta      Cf
   0.00000  1.00000  0.00000  0.85939  0.010622  0.006804  0.002026
   0.00486  0.99524  0.00099  0.86963  0.010026  0.006517  0.002177
   0.01282  0.98754  0.00298  0.88972  0.008985  0.006003  0.002488
   0.02169  0.97897  0.00528  0.91221  0.008002  0.005490  0.002849
   0.03136  0.96960  0.00767  0.93297  0.007235  0.005064  0.003185
   0.04184  0.95939  0.01003  0.94782  0.006762  0.004778  0.003407
   0.05326  0.94822  0.01243  0.95819  0.006471  0.004583  0.003533
   0.06556  0.93618  0.01494  0.96718  0.006244  0.004416  0.003619
   0.07853  0.92348  0.01757  0.97535  0.006059  0.004266  0.003670
   0.09196  0.91033  0.02029  0.98297  0.005907  0.004128  0.003690
   0.10564  0.89693  0.02306  0.99029  0.005784  0.003999  0.003676
   0.11945  0.88341  0.02587  0.99725  0.005693  0.003878  0.003622
   0.13334  0.86981  0.02871  1.00400  0.005635  0.003763  0.003519
   0.14728  0.85617  0.03158  1.01052  0.005623  0.003655  0.003352
   0.16126  0.84249  0.03447  1.01688  0.005670  0.003553  0.003103
   0.17528  0.82878  0.03738  1.02342  0.005798  0.003451  0.002751
   0.18932  0.81505  0.04031  1.03089  0.006038  0.003342  0.002275
   0.20337  0.80131  0.04324  1.04128  0.006426  0.003201  0.001674
   0.21742  0.78757  0.04616  1.05833  0.006999  0.002983  0.000989
   0.23143  0.77386  0.04908  1.08854  0.007746  0.002613  0.000336
   0.24540  0.76019  0.05198  1.13994  0.008555  0.002018 -0.000080
   0.25932  0.74658  0.05485  1.19697  0.009238  0.001406 -0.000187
   0.27317  0.73302  0.05768  1.23704  0.009650  0.001015 -0.000245
   0.28696  0.71952  0.06048  1.23839  0.009791  0.001003 -0.000248
   0.30067  0.70609  0.06322  1.23942  0.009659  0.000995 -0.000250
   0.31430  0.69272  0.06591  1.24025  0.009338  0.000988 -0.000253
   0.32785  0.67943  0.06854  1.24096  0.008878  0.000983 -0.000256
   0.34130  0.66622  0.07109  1.24162  0.008317  0.000978 -0.000260
   0.35465  0.65310  0.07357  1.24230  0.007686  0.000974 -0.000266
   0.36788  0.64009  0.07595  1.24307  0.007008  0.000969 -0.000273
   0.38099  0.62718  0.07823  1.24405  0.006316  0.000964 -0.000284
   0.39398  0.61438  0.08039  1.24534  0.005622  0.000957 -0.000299
   0.40680  0.60172  0.08243  1.24714  0.004959  0.000948 -0.000306
   0.41947  0.58919  0.08432  1.24962  0.004357  0.000936 -0.000277
   0.43206  0.57671  0.08605  1.25285  0.003841  0.000921 -0.000167
   0.44464  0.56424  0.08764  1.25676  0.003402  0.000905  0.000048
   0.45719  0.55177  0.08909  1.26174  0.003035  0.000884  0.000356
   0.46971  0.53932  0.09040  1.26763  0.002741  0.000861  0.000713
   0.48223  0.52685  0.09158  1.27380  0.002512  0.000836  0.001077
